Name|Location|Description|SDG Target|SDG Description|Impacts
Slum Networking Project|India|Provided basic services and low-carbon solutions|SDG 13|Low-carbon solutions|Provided basic services, promoting low-carbon solutions
Climate Change Education Project|New York City, USA|Integrated climate change into public school curriculum|SDG 13|Climate change education|Reached 1.1 million students
Urban Agriculture Program|Rosario, Argentina|Empowers low-income citizens to plant food|SDG 13|Reduces urban heat impact|Provides new income source, reduces urban heat impact
Olkaria Power Station|Kenya|Geothermal investment venture|SDG 13|Boosted share of geothermal energy|Increased access to clean electricity
Urban Agriculture Program|Rosario, Argentina|Empowers low-income citizens to plant food|SDG 13|Reduces urban heat impact|Provides new income source
Ultra Low Emission Zone|City of London, UK|Rigorous vehicle emissions requirements|SDG 13|Reduced roadside NO2|Reduced polluting automobiles
EU Resource Productivity|European Union|Increased resource productivity|SDG 13|Increased resource productivity|Reduced gross available energy
Amazonas Originaria|Puerto Ayacucho|Women-led project to rehabilitate forest|SDG 13|Replanting native trees|Diversified incomes for community
Near-Zero Emissions Coal|China|Address rising greenhouse gas emissions|SDG 13|Cut emissions per unit of power|Reduced anticipated emissions
Renewable Energy Sector|Asia-Pacific region|Increased employment in renewable energy|SDG 13|Created new job opportunities|Exceeded losses in traditional energy
Solar Systems Installation|Southern Belize|Installed solar systems|SDG 13|Avoided carbon emissions|Powered homes and a primary school
Gender Inclusive Cities Program|Quito, Ecuador|Supported women's groups|SDG 13|Promoted gender-responsive climate action|Raised awareness and advocated
TransMilenio Bus Rapid Transit|Bogotá, Colombia|Reduced travel times and emissions|SDG 13|Reduced emissions|Improved cycling and pedestrian infrastructure
